3루	3 루
종료하다	종 료 하 다
한라봉	한 라 봉
미섭다	미 섭 다
상투메	상 투 메
화단	화 단
분노	분 노
살리다	살 리 다
클릭	클 릭
범유행	범 유 행
연달다	연 달 다
건축학	건 축 학
긁다	긁 다
외식	외 식
하프늄	하 프 늄
압하스어	압 하 스 어
몽타주	몽 타 주
광자	광 자
편모	편 모
들쥐	들 쥐
단종하다	단 종 하 다
참바	참 바
내후년	내 후 년
부럽다	부 럽 다
남겨지다	남 겨 지 다
미술사	미 술 사
철갑상어	철 갑 상 어
협찬	협 찬
라찰	라 찰
타임아웃	타 임 아 웃
머리털	머 리 털
일맥상통	일 맥 상 통
염라	염 라
사냥감	사 냥 감
장애인	장 애 인
폭주	폭 주
-라고	- 라 고
속견	속 견
성가	성 가
킬로와트	킬 로 와 트
-호	- 호
-어라	- 어 라
야행	야 행
예일	예 일
뜨락또르	뜨 락 또 르
똑똑	똑 똑
주격	주 격
레닌	레 닌
빌다	빌 다
복불복	복 불 복
백금	백 금
통계학	통 계 학
몽고주름	몽 고 주 름
회복	회 복
흑화	흑 화
난제	난 제
목전	목 전
占領軍	占 領 軍
새우젓	새 우 젓
邪宗	邪 宗
式辭	式 辭
구기다	구 기 다
득도	득 도
안와	안 와
초딩	초 딩
백단	백 단
충북	충 북
악화되다	악 화 되 다
개펄	개 펄
사춘기	사 춘 기
고애	고 애
갑작부자	갑 작 부 자
인산인해	인 산 인 해
체스꼬슬로벤스꼬	체 스 꼬 슬 로 벤 스 꼬
靑春	靑 春
양달	양 달
뽀끈	뽀 끈
두근거리다	두 근 거 리 다
어쨌든	어 쨌 든
폭발물	폭 발 물
구이저우	구 이 저 우
피오르드	피 오 르 드
망상	망 상
소멸	소 멸
와전	와 전
낙서	낙 서
따오다	따 오 다
려관	려 관
일떠세우다	일 떠 세 우 다
꽁초	꽁 초
광둥	광 둥
욕심	욕 심
악역	악 역
세꼬	세 꼬
문명	문 명
내핵	내 핵
문바람	문 바 람
흠결	흠 결
抑留	抑 留
소원하다	소 원 하 다
비단털들쥐	비 단 털 들 쥐
하이픈	하 이 픈
목슈권	목 슈 권
촉	촉
선군	선 군
딮	딮
찌창	찌 창
霧氷	霧 氷
권선징악	권 선 징 악
씌우다	씌 우 다
越境地	越 境 地
소중화	소 중 화
슬픔증	슬 픔 증
영수증	영 수 증
령사	령 사
축척	축 척
웃돈	웃 돈
孕胎	孕 胎
출근시간	출 근 시 간
紙面	紙 面
물리학자	물 리 학 자
취체	취 체
몸통	몸 통
노갱이	노 갱 이
식혜	식 혜
풍미	풍 미
감명하다	감 명 하 다
대동소이	대 동 소 이
植民地化	植 民 地 化
스테아르산	스 테 아 르 산
바스라기	바 스 라 기
해면	해 면
팓다	팓 다
고환	고 환
도화뱅어	도 화 뱅 어
성어	성 어
사랑해	사 랑 해
고조선	고 조 선
쵸콜레트	쵸 콜 레 트
어항	어 항
신경언어학	신 경 언 어 학
의사록	의 사 록
各其	各 其
흰갈매기	흰 갈 매 기
송장	송 장
파하다	파 하 다
기계화	기 계 화
그립다	그 립 다
유성	유 성
한약	한 약
제유	제 유
된장찌게	된 장 찌 게
피통	피 통
하셔요	하 셔 요
굉장하다	굉 장 하 다
아르테미스	아 르 테 미 스
기묘하다	기 묘 하 다
끼니	끼 니
몽구스	몽 구 스
마하	마 하
색종이	색 종 이
클릭하다	클 릭 하 다
곰작	곰 작
야훼	야 훼
라틴화	라 틴 화
가물치	가 물 치
피폭	피 폭
점쟁이	점 쟁 이
가뭇가뭇	가 뭇 가 뭇
증기	증 기
땔싹	땔 싹
진행되다	진 행 되 다
귓불	귓 불
야회	야 회
脫出記	脫 出 記
㠤	㠤
혁신가	혁 신 가
부끄럼	부 끄 럼
약물	약 물
반신반인	반 신 반 인
개구리밥	개 구 리 밥
검다	검 다
팔방미인	팔 방 미 인
낭인	낭 인
고방	고 방
길냥이	길 냥 이
시주	시 주
이승	이 승
바치다	바 치 다
연결망	연 결 망
경멸감	경 멸 감
니께	니 께
과목	과 목
同業者	同 業 者
둥굴레	둥 굴 레
재야당	재 야 당
바랭이	바 랭 이
자랑하다	자 랑 하 다
피단	피 단
극작가	극 작 가
응답하다	응 답 하 다
강림	강 림
참돌고래	참 돌 고 래
선입관	선 입 관
흑우	흑 우
硏究所	硏 究 所
버클	버 클
면들레	면 들 레
未確認飛行物體	未 確 認 飛 行 物 體
노동조합원	노 동 조 합 원
簔	簔
해일	해 일
가로지다	가 로 지 다
관사	관 사
연골	연 골
비개	비 개
당하다	당 하 다
불과하다	불 과 하 다
지원병	지 원 병
씽글	씽 글
조부니	조 부 니
䰮	䰮
나체	나 체
-구나	- 구 나
산	산
勘案	勘 案
절정	절 정
호전되다	호 전 되 다
팥소	팥 소
박제	박 제
소농	소 농
과소평가	과 소 평 가
파라오	파 라 오
出願者	出 願 者
급병	급 병
촌사람	촌 사 람
노출	노 출
돌	돌
소학교	소 학 교
무간지옥	무 간 지 옥
생리학	생 리 학
지루하다	지 루 하 다
孔德	孔 德
조한	조 한
炭化水素	炭 化 水 素
예산	예 산
아이다호	아 이 다 호
절벽	절 벽
곤충학	곤 충 학
진한	진 한
결혼하다	결 혼 하 다
運轉技士	運 轉 技 士
플라네타륨	플 라 네 타 륨
의심되다	의 심 되 다
수판	수 판
산양개	산 양 개
범이신론	범 이 신 론
어벙하다	어 벙 하 다
이산화물	이 산 화 물
年中無休	年 中 無 休
-레	- 레
초혼	초 혼
심산유곡	심 산 유 곡
발언	발 언
둔갑법	둔 갑 법
도꾸이	도 꾸 이
수나사	수 나 사
리버모륨	리 버 모 륨
쓰다	쓰 다
壭	壭
헌장	헌 장
에스파냐	에 스 파 냐
원망	원 망
흰부리아비	흰 부 리 아 비
유린	유 린
가죽끈	가 죽 끈
교체하다	교 체 하 다
촨	촨
汚物	汚 物
숙녀	숙 녀
불구하다	불 구 하 다
엽궐련	엽 궐 련
푸껫	푸 껫
교회론	교 회 론
낙향	낙 향
녀성고음	녀 성 고 음
청천	청 천
알까기	알 까 기
똑	똑
유지어터	유 지 어 터
겨우내	겨 우 내
에네르기	에 네 르 기
프랑슘	프 랑 슘
㵜	㵜
슴새	슴 새
버글버글	버 글 버 글
내달	내 달
코냑	코 냑
혼술	혼 술
거르마니	거 르 마 니
半額	半 額
비버	비 버
원주필	원 주 필
약재	약 재
송부	송 부
열사	열 사
칠전팔기	칠 전 팔 기
퇴각하다	퇴 각 하 다
즉결	즉 결
시장하다	시 장 하 다
전학	전 학
발뒤꿈치	발 뒤 꿈 치
성찬	성 찬
시냅스	시 냅 스
태양초	태 양 초
종어	종 어
구름다리	구 름 다 리
야쿠츠크	야 쿠 츠 크
食器洗滌機	食 器 洗 滌 機
송이송이	송 이 송 이
이북오도	이 북 오 도
일여덟	일 여 덟
-으니께	- 으 니 께
로션	로 션
방생	방 생
바자르	바 자 르
당겨지다	당 겨 지 다
포사삭포사삭	포 사 삭 포 사 삭
컬래버레이션	컬 래 버 레 이 션
갯첨서	갯 첨 서
연패	연 패
산천	산 천
방점	방 점
메주	메 주
낙관	낙 관
멸망	멸 망
미수	미 수
수면제	수 면 제
식중독	식 중 독
카바레	카 바 레
귀접	귀 접
식생활	식 생 활
다짐	다 짐
느리다	느 리 다
폭동	폭 동
벌집	벌 집
국선	국 선
무찌르다	무 찌 르 다
生活賃金	生 活 賃 金
엽맥	엽 맥
먄	먄
짐꾼	짐 꾼
거듭홀소리	거 듭 홀 소 리
깔때기	깔 때 기
동전주	동 전 주
연해주	연 해 주
누우	누 우
합쇼체	합 쇼 체
진눈깨비	진 눈 깨 비
옮아오다	옮 아 오 다
산양	산 양
사이렌	사 이 렌
국가보안법	국 가 보 안 법
졸망	졸 망
羂	羂
당일	당 일
사생자	사 생 자
발랄라이카	발 랄 라 이 카
나타나다	나 타 나 다
구류하다	구 류 하 다
열흘	열 흘
전하	전 하
꿀꿀	꿀 꿀
볼넷	볼 넷
無性愛	無 性 愛
사령	사 령
거구	거 구
독극물	독 극 물
포가	포 가
헬창	헬 창
깨까사다	깨 까 사 다
강력하다	강 력 하 다
과학적	과 학 적
국교	국 교
비롯하다	비 롯 하 다
제원	제 원
폐공	폐 공
옥색	옥 색
테니스	테 니 스
滑走路	滑 走 路
警察官	警 察 官
상전벽해	상 전 벽 해
탄화수소	탄 화 수 소
채플	채 플
大河小說	大 河 小 說
매월	매 월
강화도	강 화 도
사이폰	사 이 폰
기러기	기 러 기
아바지	아 바 지
오아시스	오 아 시 스
사투르누스	사 투 르 누 스
헬스	헬 스
움직이다	움 직 이 다
同義語	同 義 語
훗날	훗 날
기똥차다	기 똥 차 다
섬짱깨	섬 짱 깨
몰카	몰 카
모리타니	모 리 타 니
악단	악 단
짜굽다	짜 굽 다
피짠짜짜라어	피 짠 짜 짜 라 어
장인어른	장 인 어 른
창자	창 자
구레나룻	구 레 나 룻
유가증권	유 가 증 권
규탄되다	규 탄 되 다
터키	터 키
호주머니	호 주 머 니
양귀자	양 귀 자
키리바시	키 리 바 시
자기애	자 기 애
아롱아롱	아 롱 아 롱
무닥데기	무 닥 데 기
여남은	여 남 은
어여쁘다	어 여 쁘 다
보통화	보 통 화
염가	염 가
보내다	보 내 다
파데	파 데
눈동자	눈 동 자
칼집	칼 집
뚝섬	뚝 섬
짐작	짐 작
석달	석 달
감명	감 명
마세루	마 세 루
지름길	지 름 길
웽그리아	웽 그 리 아
평지	평 지
가꾸로	가 꾸 로
제노바	제 노 바
통장	통 장
의형제	의 형 제
-잉	- 잉
ᄯᅡᆼ	ᄯ ᅡ ᆼ
눈보라	눈 보 라
떼아트르	떼 아 트 르
포옹	포 옹
질녀	질 녀
분필	분 필
상성	상 성
화염	화 염
범성애	범 성 애
돕다	돕 다
일심단결	일 심 단 결
北傀	北 傀
여전하다	여 전 하 다
피부색	피 부 색
로텔레	로 텔 레
엔지니어링	엔 지 니 어 링
줄공치	줄 공 치
쌍시옷	쌍 시 옷
연안	연 안
경찰관	경 찰 관
드리우다	드 리 우 다
외손자	외 손 자
바텐더	바 텐 더
깜박	깜 박
아침놀	아 침 놀
사역원	사 역 원
차용	차 용
지과	지 과
말고기	말 고 기
아파르트헤이트	아 파 르 트 헤 이 트
홈페지	홈 페 지
참주	참 주
걸음마	걸 음 마
좁다	좁 다
검찰하다	검 찰 하 다
높낮이	높 낮 이
불	불
衣食住	衣 食 住
가리비	가 리 비
영국인	영 국 인
금지하다	금 지 하 다
해개	해 개
白堊館	白 堊 館
검사하다	검 사 하 다
중부	중 부
不文律	不 文 律
놀이공원	놀 이 공 원
면허	면 허
망간	망 간
언어학	언 어 학
당추	당 추
칠십	칠 십
朱錫	朱 錫
白書	白 書
요사이	요 사 이
자유자재	자 유 자 재
지하	지 하
보리고래	보 리 고 래
상면	상 면
무선국	무 선 국
巪	巪
代身	代 身
폭력단	폭 력 단
잿빛	잿 빛
늘상	늘 상
잔치	잔 치
되풀이	되 풀 이
뇽	뇽
크루아상	크 루 아 상
廥	廥
닢	닢
감기	감 기
야짤	야 짤
지구대	지 구 대
순화	순 화
머리물비누	머 리 물 비 누
탄탈럼	탄 탈 럼
앞당기다	앞 당 기 다
메탄	메 탄
밤참	밤 참
그저께	그 저 께
성가시다	성 가 시 다
의지하다	의 지 하 다
끝소리	끝 소 리
교도	교 도
영갬	영 갬
여행하다	여 행 하 다
꿈지럭	꿈 지 럭
계엄	계 엄
노천	노 천
광화학	광 화 학
갈다	갈 다
과욕	과 욕
깁	깁
서남	서 남
彩度	彩 度
페럿	페 럿
때로	때 로
䲶	䲶
배관공	배 관 공
리자이나	리 자 이 나
몽고	몽 고
점선	점 선
私利私慾	私 利 私 慾
코린	코 린
정찰병	정 찰 병
공교롭다	공 교 롭 다
진지	진 지
䃨	䃨
상그랍다	상 그 랍 다
눈초리	눈 초 리
지명하다	지 명 하 다
코치	코 치
지정학	지 정 학
음란하다	음 란 하 다
상구	상 구
㐊	㐊
바램	바 램
시도	시 도
바람직하다	바 람 직 하 다
듯	듯
운전기사	운 전 기 사
싶으다	싶 으 다
오월	오 월
前任者	前 任 者
슬픔	슬 픔
사립	사 립
시합	시 합
도란스	도 란 스
거	거
헬레나	헬 레 나
간물	간 물
광석	광 석
벼룩	벼 룩
일본주	일 본 주
솜씨	솜 씨
虎狼이	虎 狼 이
면발	면 발
버뮤다	버 뮤 다
화병	화 병
겹	겹
약탈자	약 탈 자
바누아투	바 누 아 투
최후통첩	최 후 통 첩
打者	打 者
달래다	달 래 다
아이러니	아 이 러 니
㣗	㣗
팔팔하다	팔 팔 하 다
청량음료	청 량 음 료
주도	주 도
흡입	흡 입
-치	- 치
한때	한 때
여캐	여 캐
륙십	륙 십
군벌	군 벌
바람쭉	바 람 쭉
머리하다	머 리 하 다
색아	색 아
이성주의	이 성 주 의
서술	서 술
쟁	쟁
불가지론	불 가 지 론
마누	마 누
코트디부아르	코 트 디 부 아 르
磼	磼
航空機	航 空 機
낫돌고래	낫 돌 고 래
복리	복 리
漏泄	漏 泄
턱선	턱 선
초성	초 성
개걸	개 걸
지하철역	지 하 철 역
매표구	매 표 구
엔나	엔 나
차축	차 축
妓生	妓 生
좀비	좀 비
市廳	市 廳
책자	책 자
쿠키	쿠 키
화란	화 란
낯설다	낯 설 다
㩂	㩂
비슷하다	비 슷 하 다
정예하다	정 예 하 다
㶂	㶂
포획하다	포 획 하 다
경작	경 작
作心三日	作 心 三 日
-ㄴ	- ㄴ
호주인	호 주 인
手票	手 票
가득히	가 득 히
발사	발 사
효자손	효 자 손
메	메
신법	신 법
피눈물	피 눈 물
사바나	사 바 나
종다리	종 다 리
생이	생 이
방광염	방 광 염
딴지	딴 지
과학	과 학
젖먹이	젖 먹 이
시트	시 트
어찌	어 찌
큰볏말뚝망둥어	큰 볏 말 뚝 망 둥 어
육조	육 조
感氣	感 氣
심심하다	심 심 하 다
흉	흉
게하	게 하
꾸르륵	꾸 르 륵
레퍼토리	레 퍼 토 리
조끼	조 끼
쟁기	쟁 기
이체	이 체
호정	호 정
일년감	일 년 감
배스	배 스
낭송하다	낭 송 하 다
가무	가 무
마케도니아	마 케 도 니 아
검은금	검 은 금
보자기	보 자 기
거둥둥하다	거 둥 둥 하 다
아도	아 도
침낭	침 낭
벚	벚
쏠배감펭	쏠 배 감 펭
更地	更 地
왕태자	왕 태 자
필롭다	필 롭 다
낮	낮
천조국	천 조 국
조선글	조 선 글
남빙양	남 빙 양
상응	상 응
최적화	최 적 화
쌍절곤	쌍 절 곤
約婚女	約 婚 女
대주교	대 주 교
다엽	다 엽
편찮으시다	편 찮 으 시 다
개발되다	개 발 되 다
정령	정 령
거렁뱅이	거 렁 뱅 이
부양하다	부 양 하 다
배소	배 소
인출	인 출
여보	여 보
쥬스	쥬 스
제복	제 복
때늦다	때 늦 다
㤼	㤼
뜯기	뜯 기
룻	룻
음독	음 독
퇴비	퇴 비
싸불	싸 불
노랫소리	노 랫 소 리
급여하다	급 여 하 다
이성애자	이 성 애 자
현대사	현 대 사
성냥	성 냥
핏줄	핏 줄
쌀밥	쌀 밥
난태생	난 태 생
邌	邌
버몬트	버 몬 트
㳲	㳲
드립	드 립
라파엘	라 파 엘
겅게	겅 게
선창	선 창
곰틀	곰 틀
큰굿	큰 굿
배불리	배 불 리
네브라스카	네 브 라 스 카
타일	타 일
안뜰	안 뜰
섶	섶
육봉	육 봉
미어터지다	미 어 터 지 다
찌끄레기	찌 끄 레 기
유신론	유 신 론
貇	貇
무당벌레	무 당 벌 레
곤색	곤 색
만주어	만 주 어
무역항	무 역 항
-으이-	- 으 이 -
꽃미남	꽃 미 남
한월어	한 월 어
낚시터	낚 시 터
걸림	걸 림
여행사	여 행 사
맏형	맏 형
아웃사이더	아 웃 사 이 더
유언	유 언
계엄령	계 엄 령
女子親舊	女 子 親 舊
넓적다리	넓 적 다 리
앰풀	앰 풀
유명하다	유 명 하 다
유교	유 교
말미암다	말 미 암 다
저승	저 승
겨울털	겨 울 털
함흥	함 흥
물어보다	물 어 보 다
망령	망 령
새끼손가락	새 끼 손 가 락
체적	체 적
감투	감 투
상어피	상 어 피
살금살금	살 금 살 금
六德	六 德
수영복	수 영 복
대리석	대 리 석
왼	왼
탐색	탐 색
이끌다	이 끌 다
미제	미 제
데망	데 망
현무암	현 무 암
화학자	화 학 자
힘없다	힘 없 다
송과선	송 과 선
도작	도 작
면실유	면 실 유
춘절	춘 절
일으키다	일 으 키 다
사냥하다	사 냥 하 다
희	희
비평가	비 평 가
마찰시키다	마 찰 시 키 다
갈증나다	갈 증 나 다
데타	데 타
억울하다	억 울 하 다
용대	용 대
론쟁	론 쟁
필살기	필 살 기
묵다	묵 다
농악	농 악
원주율	원 주 율
在日朝鮮語	在 日 朝 鮮 語
의태어	의 태 어
공급자	공 급 자
협격	협 격
호박등	호 박 등
팡구	팡 구
몬로비아	몬 로 비 아
단순히	단 순 히
방구	방 구
未滿	未 滿
水死	水 死
펴낸곳	펴 낸 곳
이슬비	이 슬 비
소수민족	소 수 민 족
통가리	통 가 리
위층	위 층
明神	明 神
과일물	과 일 물
맞추다	맞 추 다
간증	간 증
납세자	납 세 자
사리	사 리
견문발검	견 문 발 검
분납하다	분 납 하 다
카디건	카 디 건
㐚	㐚
하슘	하 슘
목석	목 석
신농	신 농
끽연	끽 연
잠바	잠 바
쒀이러우	쒀 이 러 우
오케스트라	오 케 스 트 라
面刀	面 刀
威風堂堂	威 風 堂 堂
그물기름갖	그 물 기 름 갖
명신	명 신
수동태	수 동 태
전답	전 답
북빙양	북 빙 양
해코지	해 코 지
살며시	살 며 시
몸매	몸 매
물증	물 증
방조	방 조
팥배나무	팥 배 나 무
사진술	사 진 술
궤	궤
토라	토 라
새닥다리	새 닥 다 리
終着	終 着
부적	부 적
갈쓰뚝	갈 쓰 뚝
계집종	계 집 종
해안	해 안
흑비둘기	흑 비 둘 기
덴푸라	덴 푸 라
되야지	되 야 지
아제르바이잔	아 제 르 바 이 잔
딸꾹질하다	딸 꾹 질 하 다
건포도	건 포 도
닭싸움	닭 싸 움
여성주의자	여 성 주 의 자
부자	부 자
쾌락	쾌 락
구식	구 식
미융모	미 융 모
찌다	찌 다
파충	파 충
폐막식	폐 막 식
호전	호 전
질식하다	질 식 하 다
변이하다	변 이 하 다
선택권	선 택 권
쨍아	쨍 아
안마당	안 마 당
명료	명 료
졸리다	졸 리 다
벌써	벌 써
위력	위 력
簒奪	簒 奪
단어	단 어
상반신	상 반 신
버썩	버 썩
베드신	베 드 신
